price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;pricePerSquare
1900000.0;43.810306;56.360571;38.7;23.1;5.6;2;5;5;49095.60723514212
2350000.0;43.9609;56.330216;31.0;19.2;5.8;1;4;5;75806.45161290323
1950000.0;43.95626647;56.24465443;31.0;18.0;6.0;1;2;2;62903.22580645161
3050000.0;44.084167;56.282026;47.0;17.0;11.4;1;6;14;64893.617021276594
2700000.0;44.081166;56.297173;46.0;22.8;8.2;2;8;19;58695.65217391304
5300000.0;44.035469;56.2828;70.0;41.0;13.5;2;7;19;75714.28571428571
2300000.0;43.955169;56.328499;29.9;16.5;6.5;1;11;12;76923.07692307692
5600600.0;44.016529;56.319162;68.3;34.6;13.0;2;4;19;82000.0
2900000.0;43.92424;56.273595;36.6;19.6;7.7;1;3;10;79234.97267759562
2900000.0;43.820655;56.364501;58.0;38.0;9.2;3;4;9;50000.0
3380000.0;43.938918;56.327291;60.0;37.0;8.0;3;5;5;56333.333333333336
2100000.0;43.944533;56.326053;35.0;29.0;6.0;2;7;9;60000.0
1800000.0;43.823943;56.224557;43.0;26.0;7.0;2;2;3;41860.46511627907
2809440.0;44.01725401;56.2646333;42.3;19.5;9.6;1;16;17;66417.02127659575
3000000.0;44.005986;56.326887;45.0;28.0;7.0;2;6;9;66666.66666666667
6900000.0;44.031425;56.322193;83.0;45.3;18.0;2;5;5;83132.53012048193
4750000.0;44.007262;56.317467;62.0;30.0;7.0;2;8;9;76612.90322580645
1400000.0;43.885289;56.312045;25.0;9.1;5.3;1;4;9;56000.0
3650000.0;43.937993;56.333509;57.0;30.0;10.0;2;7;10;64035.087719298244
3500000.0;43.951351;56.29021;46.9;28.0;7.3;2;2;9;74626.86567164179
1660000.0;44.005986;56.326887;32.2;16.9;6.2;1;4;4;51552.795031055895
3400000.0;43.951101;56.340712;40.0;16.0;10.0;1;12;17;85000.0
4600000.0;43.91249;56.339307;71.0;39.0;12.0;2;5;10;64788.7323943662
2072520.0;43.82559323;56.23038617;35.49;16.52;12.45;1;7;10;58397.29501267963
4800000.0;44.034652;56.2828;67.1;37.0;12.7;2;17;19;71535.02235469449
2100000.0;43.85485121;56.18986956;49.0;26.0;9.0;2;2;3;42857.142857142855
2200000.0;43.931175;56.290584;45.0;28.0;6.0;2;5;5;48888.88888888889
2700000.0;43.879692;56.326642;55.0;33.0;9.0;2;3;3;49090.90909090909
2400000.0;43.839376;56.353076;56.0;42.0;6.0;3;5;5;42857.142857142855
2900000.0;43.845655;56.28932;60.0;44.0;7.0;3;1;9;48333.333333333336
3600000.0;43.978911;56.240868;76.0;53.3;8.0;4;7;9;47368.42105263158
2200000.0;43.865265;56.216855;28.2;18.0;7.0;1;12;17;78014.18439716312
2250000.0;43.883941;56.311212;47.0;41.0;6.0;2;5;5;47872.34042553192
5100000.0;44.079037;56.303536;60.1;33.0;12.1;2;9;9;84858.5690515807
1850000.0;43.922632;56.294521;40.0;27.0;7.0;2;1;2;46250.0
5170000.0;43.975848;56.313503;110.0;70.0;25.0;4;7;11;47000.0
3690000.0;43.863415;56.254042;66.0;37.0;13.0;2;5;5;55909.09090909091
4410000.0;43.97601553;56.31349795;98.5;15.0;64.0;3;3;11;44771.57360406091
4000000.0;43.860711;56.256238;62.3;47.6;5.4;4;2;5;64205.457463884435
2780000.0;43.874527;56.270931;43.0;30.0;7.5;2;7;9;64651.16279069767
1800000.0;43.87344;56.313224;34.0;20.0;6.0;1;4;9;52941.17647058824
1950000.0;43.909525;56.306488;32.0;14.0;6.0;1;1;1;60937.5
3500000.0;43.8564313;56.35492952;66.4;38.0;10.0;3;4;10;52710.84337349397
2180000.0;43.852949;56.313473;61.0;47.0;6.0;3;1;5;35737.70491803279
3550000.0;43.822497;56.23402;81.0;52.0;7.5;4;4;9;43827.16049382716
3200000.0;44.07575062;56.28387542;42.8;16.8;8.3;1;13;17;74766.35514018692
3350000.0;43.940895;56.341118;42.0;18.0;9.0;1;5;17;79761.90476190476
3275790.0;43.82559323;56.23038617;56.62;36.6;8.58;2;2;10;57855.70469798658
